reef.id,date,nerr.zone,nsf.site,quad.no,organism.type,size,sex,notes
SA1,4/9/19,st.aug,none,2.5,mudcrab,37,m,
SA1,4/9/19,st.aug,none,2.5,mudcrab,24,f,
SA1,4/9/19,st.aug,none,2.5,mudcrab,14,m,
SA1,4/9/19,st.aug,none,5,mudcrab,34,m,
SA1,4/9/19,st.aug,none,5,mudcrab,40,m,
SA1,4/9/19,st.aug,none,7.5,mudcrab,23,f,
SA1,4/9/19,st.aug,none,7.5,mudcrab,19,gf,
SA1,4/9/19,st.aug,none,7.5,mudcrab,14,f,
SA1,4/9/19,st.aug,none,7.5,mudcrab,23,m,
SA1,4/9/19,st.aug,none,7.5,mudcrab,23,f,
SA1,4/9/19,st.aug,none,7.5,mudcrab,34,m,
SA1,4/9/19,st.aug,none,7.5,mudcrab,19,f,
SA1,4/9/19,st.aug,none,10,mudcrab,24,f,
SA1,4/9/19,st.aug,none,12.5,mudcrab,27,f,
SA1,4/9/19,st.aug,none,12.5,mudcrab,26,m,
SA1,4/9/19,st.aug,none,12.5,mudcrab,24,m,
SA1,4/9/19,st.aug,none,15,mudcrab,17,f,
SA1,4/9/19,st.aug,none,15,mudcrab,29,m,
SA1,4/9/19,st.aug,none,15,mudcrab,22,m,
SA1,4/9/19,st.aug,none,15,mudcrab,28,m,
SA1,4/9/19,st.aug,none,15,mudcrab,31,f,
SA1,4/9/19,st.aug,none,15,mudcrab,20,m,
SA1,4/9/19,st.aug,none,15,mudcrab,30,f,
SA1,4/9/19,st.aug,none,15,mudcrab,24,f,
SA1,4/9/19,st.aug,none,15,mudcrab,33,m,
SA1,4/9/19,st.aug,none,15,mudcrab,32,gf,
SA3,4/9/19,st.aug,none,2,mudcrab,19,m,
SA3,4/9/19,st.aug,none,2,mudcrab,21,f,
SA3,4/9/19,st.aug,none,4,mudcrab,26,f,
SA3,4/9/19,st.aug,none,4,mudcrab,23,f,
SA3,4/9/19,st.aug,none,4,mudcrab,24,m,
SA3,4/9/19,st.aug,none,6,mudcrab,28,gf,
SA3,4/9/19,st.aug,none,6,mudcrab,25,gf,
SA3,4/9/19,st.aug,none,6,mudcrab,34,m,
SA3,4/9/19,st.aug,none,8,mudcrab,28,m,
SA3,4/9/19,st.aug,none,8,mudcrab,23,m,
SA3,4/9/19,st.aug,none,10,mudcrab,23,f,
SA3,4/9/19,st.aug,none,10,mudcrab,45,f,
SA3,4/9/19,st.aug,none,12,mudcrab,25,m,
GR2,4/10/19,guana,none,7,mudcrab,26,m,
GR2,4/10/19,guana,none,7,mudcrab,43,f,
GR2,4/10/19,guana,none,7,mudcrab,17,m,
GR2,4/10/19,guana,none,7,mudcrab,20,f,
GR2,4/10/19,guana,none,7,mudcrab,11,gf,
GR2,4/10/19,guana,none,14,mudcrab,36,m,
GR2,4/10/19,guana,none,14,mudcrab,18,m,
GR2,4/10/19,guana,none,14,mudcrab,24,gf,
GR2,4/10/19,guana,none,14,mudcrab,28,m,
GR2,4/10/19,guana,none,14,mudcrab,19,m,
GR2,4/10/19,guana,none,14,mudcrab,23,m,
GR2,4/10/19,guana,none,14,mudcrab,26,m,
GR2,4/10/19,guana,none,14,mudcrab,25,f,
GR2,4/10/19,guana,none,21,mudcrab,20,f,
GR2,4/10/19,guana,none,21,mudcrab,21,m,
GR2,4/10/19,guana,none,21,mudcrab,19,m,
GR2,4/10/19,guana,none,21,mudcrab,19,f,
GR2,4/10/19,guana,none,21,mudcrab,35,m,
GR2,4/10/19,guana,none,21,mudcrab,20,m,
GR2,4/10/19,guana,none,21,mudcrab,26,m,
GR2,4/10/19,guana,none,21,mudcrab,22,m,
GR2,4/10/19,guana,none,21,mudcrab,31,f,
GR2,4/10/19,guana,none,28,mudcrab,28,f,
GR2,4/10/19,guana,none,28,mudcrab,19,m,
GR2,4/10/19,guana,none,28,mudcrab,25,m,
GR2,4/10/19,guana,none,28,mudcrab,22,gf,
GR2,4/10/19,guana,none,28,mudcrab,33,m,
GR2,4/10/19,guana,none,28,mudcrab,20,gf,
GR2,4/10/19,guana,none,28,mudcrab,20,f,
GR2,4/10/19,guana,none,28,mudcrab,19,m,
GR2,4/10/19,guana,none,35,mudcrab,19,m,
GR2,4/10/19,guana,none,35,mudcrab,28,f,
GR2,4/10/19,guana,none,35,mudcrab,35,m,
GR2,4/10/19,guana,none,35,mudcrab,21,f,
GR2,4/10/19,guana,none,42,mudcrab,19,m,
GR2,4/10/19,guana,none,42,mudcrab,25,f,
GR2,4/10/19,guana,none,42,mudcrab,29,m,
GR2,4/10/19,guana,none,42,mudcrab,33,m,
GR2,4/10/19,guana,none,42,mudcrab,23,m,
GR2,4/10/19,guana,none,42,mudcrab,21,m,
SA2,4/11/19,st.aug,none,5,mudcrab,21,f,
SA2,4/11/19,st.aug,none,5,mudcrab,18,m,
SA2,4/11/19,st.aug,none,5,mudcrab,24,m,
SA2,4/11/19,st.aug,none,5,mudcrab,18,m,
SA2,4/11/19,st.aug,none,7.5,mudcrab,17,f,
SA2,4/11/19,st.aug,none,7.5,mudcrab,29,m,
SA2,4/11/19,st.aug,none,7.5,mudcrab,20,f,
SA2,4/11/19,st.aug,none,7.5,mudcrab,17,m,
SA2,4/11/19,st.aug,none,7.5,mudcrab,19,f,
SA2,4/11/19,st.aug,none,7.5,mudcrab,21,gf,
SA2,4/11/19,st.aug,none,10,mudcrab,22,gf,
SA2,4/11/19,st.aug,none,10,mudcrab,16,m,
SA2,4/11/19,st.aug,none,12.5,mudcrab,23,gf,
SA2,4/11/19,st.aug,none,12.5,mudcrab,45,m,
SA2,4/11/19,st.aug,none,12.5,mudcrab,19,m,
SA2,4/11/19,st.aug,none,15,mudcrab,23,gf,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,18,f,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,22,f,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,28,m,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,21,f,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,17,f,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,18,gf,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,17,gf,
PF1,4/18/19,pellicer,pellicer,8.5,mudcrab,20,m,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,23,gf,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,21,gf,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,18,gf,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,22,gf,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,18,gf,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,15,m,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,24,f,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,30,m,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,18,f,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,22,m,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,18,m,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,23,f,
PF1,4/18/19,pellicer,pellicer,17,mudcrab,26,f,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,16,m,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,33,m,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,33,m,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,20,gf,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,25,f,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,21,m,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,21,m,
PF1,4/18/19,pellicer,pellicer,25.5,mudcrab,17,m,
PF1,4/18/19,pellicer,pellicer,34,mudcrab,23,m,
PF1,4/18/19,pellicer,pellicer,34,mudcrab,22,gf,
PF1,4/18/19,pellicer,pellicer,34,mudcrab,27,gf,
PF1,4/18/19,pellicer,pellicer,34,mudcrab,22,gf,
PF1,4/18/19,pellicer,pellicer,34,mudcrab,18,m,
PF1,4/18/19,pellicer,pellicer,42.5,mudcrab,20,m,
PF1,4/18/19,pellicer,pellicer,42.5,mudcrab,18,f,
PF1,4/18/19,pellicer,pellicer,42.5,mudcrab,20,m,
PF1,4/18/19,pellicer,pellicer,42.5,mudcrab,18,m,
PF1,4/18/19,pellicer,pellicer,42.5,mudcrab,23,m,
PF1,4/18/19,pellicer,pellicer,42.5,mudcrab,22,f,
PF1,4/18/19,pellicer,pellicer,42.5,mudcrab,21,gf,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,21,f,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,16,f,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,19,gf,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,19,m,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,26,m,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,24,gf,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,18,m,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,25,m,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,14,gf,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,23,m,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,18,f,
PF1,4/18/19,pellicer,pellicer,51,mudcrab,17,m,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,21,gf,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,23,f,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,39,m,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,32,m,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,22,m,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,13,f,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,19,m,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,16,m,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,18,m,
PF2,4/18/19,pellicer,pellicer,7.5,mudcrab,14,m,
PF2,4/18/19,pellicer,pellicer,15,mudcrab,26,gf,
PF2,4/18/19,pellicer,pellicer,15,mudcrab,25,m,
PF2,4/18/19,pellicer,pellicer,22.5,mudcrab,18,f,
PF2,4/18/19,pellicer,pellicer,22.5,mudcrab,20,m,
PF2,4/18/19,pellicer,pellicer,22.5,mudcrab,27,m,
PF2,4/18/19,pellicer,pellicer,30,mudcrab,19,gf,
PF2,4/18/19,pellicer,pellicer,30,mudcrab,14,f,
PF2,4/18/19,pellicer,pellicer,37.5,mudcrab,14,f,
PF2,4/18/19,pellicer,pellicer,37.5,mudcrab,13,f,
PF2,4/18/19,pellicer,pellicer,37.5,conch.low,54,NA,
PF2,4/18/19,pellicer,pellicer,45,mudcrab,19,m,
PF2,4/18/19,pellicer,pellicer,45,mudcrab,20,m,
PF2,4/18/19,pellicer,pellicer,45,mudcrab,16,m,
PF2,4/18/19,pellicer,pellicer,45,mudcrab,20,gf,
PFNSF,4/19/19,pellicer,pellicer,5.5,mudcrab,27,f,
PFNSF,4/19/19,pellicer,pellicer,5.5,mudcrab,20,f,
PFNSF,4/19/19,pellicer,pellicer,5.5,mudcrab,21,gf,
PFNSF,4/19/19,pellicer,pellicer,5.5,conch.low,75,NA,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,22,gf,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,23,gf,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,29,m,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,18,m,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,37,m,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,20,gf,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,32,gf,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,28,m,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,21,gf,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,40,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,21,gf,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,20,gf,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,24,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,21,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,24,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,19,m,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,22,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,20,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,28,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,27,m,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,24,m,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,22,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,37,m,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,29,m,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,41,m,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,16,f,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,17,f,
FM1,4/20/19,matanzas,tradewinds,13,mudcrab,17,m,
FM1,4/20/19,matanzas,tradewinds,13,mudcrab,26,m,
FM1,4/20/19,matanzas,tradewinds,13,mudcrab,18,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,19,gf,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,21,gf,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,19,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,22,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,25,f,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,35,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,36,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,19,gf,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,28,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,17,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,27,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,23,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,18,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,32,gf,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,25,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,28,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,18,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,19,gf,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,gf,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,f,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,30,m,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,m,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,m,
FM1,4/20/19,matanzas,tradewinds,78,mudcrab,18,gf,
FM1,4/20/19,matanzas,tradewinds,78,mudcrab,21,m,
FM1,4/20/19,matanzas,tradewinds,78,mudcrab,20,gf,
MA2,4/20/19,matanzas,tradewinds,4,mudcrab,19,f,
MA2,4/20/19,matanzas,tradewinds,4,mudcrab,29,gf,
MA2,4/20/19,matanzas,tradewinds,8,mudcrab,20,f,
MA2,4/20/19,matanzas,tradewinds,8,mudcrab,23,f,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,39,m,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,24,m,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,17,f,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,15,f,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,26,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,25,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,19,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,23,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,20,gf,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,20,gf,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,23,gf,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,26,f,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,23,f,
MA2,4/20/19,matanzas,tradewinds,24,mudcrab,23,gf,
MA2,4/20/19,matanzas,tradewinds,24,mudcrab,17,gf,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,20,m,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,29,m,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,38,m,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,25,m,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,22,m,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,19,m,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,21,gf,
MANSF,4/20/19,matanzas,tradewinds,33,mudcrab,22,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,20,f,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,34,gf,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,24,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,23,gf,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,36,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,22,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,19,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,26,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,34,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,37,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,18,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,16,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,20,f,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,34,m,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,25,gf,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,16,m,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,21,m,
BU1,4/21/19,butler,moses,11,mudcrab,20,m,
BU1,4/21/19,butler,moses,11,mudcrab,25,m,
BU1,4/21/19,butler,moses,11,mudcrab,18,gf,
BU1,4/21/19,butler,moses,11,mudcrab,20,m,
BU1,4/21/19,butler,moses,11,mudcrab,21,m,
BU1,4/21/19,butler,moses,11,mudcrab,24,m,
BU1,4/21/19,butler,moses,11,mudcrab,32,m,
BU1,4/21/19,butler,moses,11,mudcrab,26,m,
BU1,4/21/19,butler,moses,11,mudcrab,24,m,
BU1,4/21/19,butler,moses,11,mudcrab,16,f,
BU1,4/21/19,butler,moses,11,mudcrab,18,gf,
BU1,4/21/19,butler,moses,11,mudcrab,20,m,
BU1,4/21/19,butler,moses,22,mudcrab,32,m,
BU1,4/21/19,butler,moses,22,mudcrab,34,m,
BU1,4/21/19,butler,moses,22,mudcrab,28,gf,
BU1,4/21/19,butler,moses,22,mudcrab,24,m,
BU1,4/21/19,butler,moses,22,mudcrab,24,m,
BU1,4/21/19,butler,moses,22,mudcrab,22,m,
BU1,4/21/19,butler,moses,22,mudcrab,39,m,
BU1,4/21/19,butler,moses,33,mudcrab,33,m,
BU1,4/21/19,butler,moses,33,mudcrab,30,m,
BU1,4/21/19,butler,moses,33,mudcrab,20,gf,
BU1,4/21/19,butler,moses,33,mudcrab,20,f,
BU1,4/21/19,butler,moses,33,mudcrab,15,gf,
BU1,4/21/19,butler,moses,33,mudcrab,22,m,
BU1,4/21/19,butler,moses,33,mudcrab,36,m,
BU1,4/21/19,butler,moses,33,mudcrab,26,f,
BU1,4/21/19,butler,moses,44,mudcrab,37,m,
BU1,4/21/19,butler,moses,44,mudcrab,37,f,
BU1,4/21/19,butler,moses,44,mudcrab,28,f,
BU1,4/21/19,butler,moses,44,mudcrab,21,m,
BU1,4/21/19,butler,moses,44,mudcrab,23,m,
BU1,4/21/19,butler,moses,44,mudcrab,16,f,
BU1,4/21/19,butler,moses,44,mudcrab,19,gf,
BU1,4/21/19,butler,moses,44,mudcrab,22,f,
BU1,4/21/19,butler,moses,44,mudcrab,20,gf,
BU1,4/21/19,butler,moses,55,mudcrab,27,gf,
BU1,4/21/19,butler,moses,55,mudcrab,35,m,
BU1,4/21/19,butler,moses,55,mudcrab,20,f,
BU1,4/21/19,butler,moses,55,mudcrab,23,gf,
BU1,4/21/19,butler,moses,55,mudcrab,32,m,
BU1,4/21/19,butler,moses,55,mudcrab,21,f,
BU1,4/21/19,butler,moses,55,mudcrab,21,gf,
BU1,4/21/19,butler,moses,55,mudcrab,24,m,
BU1,4/21/19,butler,moses,66,mudcrab,28,gf,
BU1,4/21/19,butler,moses,66,mudcrab,32,gf,
BU1,4/21/19,butler,moses,66,mudcrab,21,m,
BU1,4/21/19,butler,moses,66,mudcrab,37,m,
BU1,4/21/19,butler,moses,66,mudcrab,33,m,
BU1,4/21/19,butler,moses,66,mudcrab,19,f,
BU1,4/21/19,butler,moses,66,mudcrab,21,gf,
BU2,4/21/19,butler,moses,2.5,mudcrab,14,f,
BU2,4/21/19,butler,moses,2.5,mudcrab,14,m,
BU2,4/21/19,butler,moses,2.5,mudcrab,32,m,
BU2,4/21/19,butler,moses,2.5,mudcrab,24,m,
BU2,4/21/19,butler,moses,2.5,mudcrab,15,f,
BU2,4/21/19,butler,moses,2.5,mudcrab,20,f,
BU2,4/21/19,butler,moses,5,mudcrab,20,m,"1 other escaped- ~25, M"
BU2,4/21/19,butler,moses,7.5,mudcrab,20,m,
BU2,4/21/19,butler,moses,7.5,mudcrab,26,m,
BU2,4/21/19,butler,moses,7.5,mudcrab,16,m,
BU2,4/21/19,butler,moses,10,mudcrab,24,m,
BU2,4/21/19,butler,moses,10,mudcrab,27,gf,
BU2,4/21/19,butler,moses,10,mudcrab,21,m,
BU2,4/21/19,butler,moses,10,mudcrab,18,m,
BU2,4/21/19,butler,moses,10,mudcrab,22,gf,
BU2,4/21/19,butler,moses,10,mudcrab,40,m,
BU2,4/21/19,butler,moses,12.5,mudcrab,24,f,
BU2,4/21/19,butler,moses,12.5,mudcrab,19,m,
BU2,4/21/19,butler,moses,12.5,mudcrab,27,m,
BU2,4/21/19,butler,moses,12.5,mudcrab,34,m,
BU2,4/21/19,butler,moses,17,mudcrab,18,f,
BU2,4/21/19,butler,moses,17,mudcrab,19,f,
BU2,4/21/19,butler,moses,17,mudcrab,15,m,
BU2,4/21/19,butler,moses,17,mudcrab,24,m,
BU2,4/21/19,butler,moses,17,mudcrab,36,m,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,20,f,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,26,m,
